Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
palm_link,-0.023058080669281,0.0369501905463185,0.00501896561843351,0,0,0,0.0325842989050545,1.48088315848477E-05,3.11340567715553E-06,1.80799262742199E-09,3.35384781114046E-06,-2.15473386438077E-07,1.62943893316791E-05,0,0,0,0,0,0,package://nano_hand/meshes/palm_link.STL,1,1,1,1,0,0,0,0,0,0,package://nano_hand/meshes/palm_link.STL,,Complete_Palm_Hand_07_Mod_01-1;SCS0009-1;7_Inner_Palm_ADD1-3-1;7_Inner_Palm_ADD1-1-1;7_Inner_Palm_ADD1-2-1,original,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger_1_1_link,-0.0054652,0.00035593,0.019133,0,0,0,0.0031595,1.4509E-07,2.8992E-09,-2.449E-09,1.8943E-07,1.6004E-10,1.0989E-07,0,0,0,0,0,0,package://nano_hand/meshes/finger_1_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://nano_hand/meshes/finger_1_1_link.STL,,Thumb_asm-1/5_Thumb-1-1,cord_1_1,axis_finger1_1,finger_1_1_joint,revolute,0.0047117,0.058106,0.033709,-1.7589,0.045386,-3.1061,palm_link,0,0,1,1,1,0,1.57,,,,,,,,
finger_1_2_link,0.016464878316354,-0.060181385231916,-0.026213353755816,0,0,0,0.138580571890128,0.000442035541420604,1.48217364557117E-05,6.11583116945832E-05,0.000296632118358033,-0.000107876362594116,0.000617313341229997,0,0,0,0,0,0,package://nano_hand/meshes/finger_1_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://nano_hand/meshes/finger_1_2_link.STL,,Thumb_asm-1/5_Thumb-2-1,cord_1_2,axis_finger1_2,finger_1_2_joint,revolute,-0.0073397,0.010399,0.018076,1.5708,0.043348,-0.065032,finger_1_1_link,0,0,1,1,1,0,1.05,,,,,,,,
finger_1_3_link,-0.0173815219197149,-0.00677176764859404,0.00629928645670959,0,0,0,0.00735702541142463,6.51976668101763E-07,-3.24601779660316E-07,6.77111169414579E-11,1.10572146030686E-06,1.03047278397822E-10,1.11073545120702E-06,0,0,0,0,0,0,package://nano_hand/meshes/finger_1_3_link.STL,1,1,1,1,0,0,0,0,0,0,package://nano_hand/meshes/finger_1_3_link.STL,,Thumb_asm-1/5_Thumb-3-1,cord_1_3,axis_finger1_3,finger_1_3_joint,revolute,-0.039383,-0.019621,0.0036,0,0,0,finger_1_2_link,0,0,1,1,1,0,1.05,,,,,,,,
finger_1_4_link,-0.0132598356426515,-0.00912472976533521,-0.0111008150587074,0,0,0,0.00915206476812886,7.53579683669562E-07,-3.51254467695854E-07,6.49332841901775E-12,9.02166120726317E-07,3.09312456266341E-11,1.0329186744223E-06,0,0,0,0,0,0,package://nano_hand/meshes/finger_1_4_link.STL,1,1,1,1,0,0,0,0,0,0,package://nano_hand/meshes/finger_1_4_link.STL,,Thumb_asm-1/5_Thumb-4-1,cord_1_4,axis_finger1_4,finger_1_4_joint,revolute,-0.032882,-0.019047,0.0175,0,0,0,finger_1_3_link,0,0,1,1,1,0,1.05,,,,,,,,
finger_2_1_link,-3.55614879747404E-05,0.00244343103249055,0.00960067292223273,0,0,0,0.00292297793977485,1.32545018021272E-07,5.66019184166586E-10,9.26467638099783E-11,8.89294013153045E-08,-7.27951991249889E-09,1.12694245202905E-07,0,0,0,0,0,0,package://nano_hand/meshes/finger_2_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://nano_hand/meshes/finger_2_1_link.STL,,Index_Finger_asm-1/2_Index_Finger-1-1;Index_Finger_asm-1/2_Index_Finger-2-1,cord_2_1,axis_finger2_1,finger_2_1_joint,revolute,0.02018,0.102,-0.0028146,-0.031659,0.10363,3.1383,palm_link,0,0,1,1,1,-0.175,0.175,,,,,,,,
finger_2_2_link,-0.00253868521374917,-0.0218581449931004,0.00544853756111239,0,0,0,0.0115418455710388,2.86123761890003E-06,1.87075637400759E-08,-5.22837939831417E-11,7.79326429089686E-07,5.58088594741248E-11,2.77461189355865E-06,0,0,0,0,0,0,package://nano_hand/meshes/finger_2_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://nano_hand/meshes/finger_2_2_link.STL,,Index_Finger_asm-1/2_Index_Finger-3-1,cord_2_2,axis_finger2_2,finger_2_2_joint,revolute,0.0054934,-0.0025286,0.0084,1.5708,-1.4462,-1.5578,finger_2_1_link,0,0,1,1,1,0,1.05,,,,,,,,
finger_2_3_link,-0.0013554058764165,-0.0167823369411608,0.00607961089694138,0,0,0,0.00650791043801648,1.0199337928211E-06,7.15598693212974E-09,-4.0841078488944E-11,3.58189433683801E-07,1.03799062449257E-10,9.33358235935626E-07,0,0,0,0,0,0,package://nano_hand/meshes/finger_2_3_link.STL,1,1,1,1,0,0,0,0,0,0,package://nano_hand/meshes/finger_2_3_link.STL,,Index_Finger_asm-1/2_Index_Finger-4-1,cord_2_3,axis_finger2_3,finger_2_3_joint,revolute,0.0026053,-0.047729,-0.00074,0,0,0,finger_2_2_link,0,0,1,1,1,0,1.05,,,,,,,,
finger_2_4_link,-0.000684696487682185,-0.0124317389706922,0.00544985032226729,0,0,0,0.00475390404879416,3.93685199480188E-07,8.70429034961246E-09,4.68290676685907E-12,1.91758865288875E-07,5.61352460408596E-12,3.42587354657672E-07,0,0,0,0,0,0,package://nano_hand/meshes/finger_2_4_link.STL,1,1,1,1,0,0,0,0,0,0,package://nano_hand/meshes/finger_2_4_link.STL,,Index_Finger_asm-1/2_Index_Finger-5-1,cord_2_4,axis_finger2_4,finger_2_4_joint,revolute,0.0021174,-0.034034,0.00052,0,0,0,finger_2_3_link,0,0,1,1,1,0,1.05,,,,,,,,
finger_3_1_link,-0.000283318346789856,0.00289116457069241,0.0101137800723691,0,0,0,0.00265809953696179,1.17261433478031E-07,3.80411181946659E-09,1.37709694033534E-09,7.87643028355741E-08,-1.40702954644589E-08,9.70177662183796E-08,0,0,0,0,0,0,package://nano_hand/meshes/finger_3_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://nano_hand/meshes/finger_3_1_link.STL,,Fore_Finger_asm-1/1_Fore_Finger-5-1;Fore_Finger_asm-1/1_Fore_Finger-4-1,cord_3_1,axis_finger3_1,finger_3_1_joint,revolute,-0.0026261,0.10523,-0.0075742,0.0073233,0.035901,-3.1413,palm_link,0,0,1,1,1,-0.175,0.175,,,,,,,,
